id,lig,ecm
ANGPT1:ALCAM,ANGPT1,ALCAM
ANGPT1:BCAN,ANGPT1,BCAN
ANGPT1:BGN,ANGPT1,BGN
ANGPT1:CD44,ANGPT1,CD44
ANGPT1:CDH1,ANGPT1,CDH1
ANGPT1:CDH15,ANGPT1,CDH15
ANGPT1:CDH20,ANGPT1,CDH20
ANGPT1:CDH3,ANGPT1,CDH3
ANGPT1:CDH6,ANGPT1,CDH6
ANGPT1:CDH8,ANGPT1,CDH8
ANGPT1:CEACAM6,ANGPT1,CEACAM6
ANGPT1:COL1,ANGPT1,COL1
ANGPT1:COL23A1,ANGPT1,COL23A1
ANGPT1:COL2A1,ANGPT1,COL2A1
ANGPT1:COL3A1,ANGPT1,COL3A1
ANGPT1:COL4A1,ANGPT1,COL4A1
ANGPT1:COL5A1,ANGPT1,COL5A1
ANGPT1:DCN,ANGPT1,DCN
ANGPT1:DSG2,ANGPT1,DSG2
ANGPT1:ECM1,ANGPT1,ECM1
ANGPT1:FN1,ANGPT1,FN1
ANGPT1:GAP43,ANGPT1,GAP43
ANGPT1:HA500M,ANGPT1,HA500M
ANGPT1:HA500P,ANGPT1,HA500P
ANGPT1:ICAM1,ANGPT1,ICAM1
ANGPT1:ITGA10B1,ANGPT1,ITGA10B1
ANGPT1:ITGA2B1,ANGPT1,ITGA2B1
ANGPT1:ITGA3B1,ANGPT1,ITGA3B1
ANGPT1:ITGA4B1,ANGPT1,ITGA4B1
ANGPT1:ITGA6B4,ANGPT1,ITGA6B4
ANGPT1:ITGA9B1,ANGPT1,ITGA9B1
ANGPT1:ITGAMB2,ANGPT1,ITGAMB2
ANGPT1:ITGAVB2,ANGPT1,ITGAVB2
ANGPT1:LAMA3,ANGPT1,LAMA3
ANGPT1:LAMB1,ANGPT1,LAMB1
ANGPT1:LUM,ANGPT1,LUM
ANGPT1:NID1,ANGPT1,NID1
ANGPT1:OMD,ANGPT1,OMD
ANGPT1:PECAM1,ANGPT1,PECAM1
ANGPT1:POSTN,ANGPT1,POSTN
ANGPT1:SPARC,ANGPT1,SPARC
ANGPT1:SPP1,ANGPT1,SPP1
ANGPT1:THBS1,ANGPT1,THBS1
ANGPT1:TNC,ANGPT1,TNC
ANGPT1:VCAM1,ANGPT1,VCAM1
ANGPT1:VTN,ANGPT1,VTN
ANGPT1:blank,ANGPT1,blank
ANGPT2:ALCAM,ANGPT2,ALCAM
ANGPT2:BCAN,ANGPT2,BCAN
ANGPT2:BGN,ANGPT2,BGN
ANGPT2:CD44,ANGPT2,CD44
ANGPT2:CDH1,ANGPT2,CDH1
ANGPT2:CDH15,ANGPT2,CDH15
ANGPT2:CDH20,ANGPT2,CDH20
ANGPT2:CDH3,ANGPT2,CDH3
ANGPT2:CDH6,ANGPT2,CDH6
ANGPT2:CDH8,ANGPT2,CDH8
ANGPT2:CEACAM6,ANGPT2,CEACAM6
ANGPT2:COL1,ANGPT2,COL1
ANGPT2:COL23A1,ANGPT2,COL23A1
ANGPT2:COL2A1,ANGPT2,COL2A1
ANGPT2:COL3A1,ANGPT2,COL3A1
ANGPT2:COL4A1,ANGPT2,COL4A1
ANGPT2:COL5A1,ANGPT2,COL5A1
ANGPT2:DCN,ANGPT2,DCN
ANGPT2:DSG2,ANGPT2,DSG2
ANGPT2:ECM1,ANGPT2,ECM1
ANGPT2:FN1,ANGPT2,FN1
ANGPT2:GAP43,ANGPT2,GAP43
ANGPT2:HA500M,ANGPT2,HA500M
